Date,NAV
23-Dec-16,808.00
26-Dec-16,801.25
27-Dec-16,814.85
28-Dec-16,816.15
29-Dec-16,815.65
30-Dec-16,827.76
02-Jan-17,830.20
03-Jan-17,830.50
04-Jan-17,828.59
05-Jan-17,838.00
06-Jan-17,838.00
09-Jan-17,836.76
10-Jan-17,839.30
11-Jan-17,847.16
12-Jan-17,850.30
13-Jan-17,850.61
16-Jan-17,853.85
17-Jan-17,850.84
18-Jan-17,853.75
19-Jan-17,852.00
20-Jan-17,847.66
23-Jan-17,843.48
24-Jan-17,852.71
25-Jan-17,866.25
27-Jan-17,877.40
30-Jan-17,876.53
31-Jan-17,869.03
01-Feb-17,884.20
02-Feb-17,885.06
03-Feb-17,881.50
06-Feb-17,889.66
07-Feb-17,888.67
08-Feb-17,885.00
09-Feb-17,887.91
10-Feb-17,890.00
13-Feb-17,892.00
14-Feb-17,889.71
15-Feb-17,886.22
16-Feb-17,889.28
17-Feb-17,893.98
20-Feb-17,898.10
21-Feb-17,902.30
22-Feb-17,902.20
23-Feb-17,906.28
27-Feb-17,902.00
28-Feb-17,901.10
01-Mar-17,907.00
02-Mar-17,902.56
03-Mar-17,901.76
06-Mar-17,908.88
07-Mar-17,907.75
08-Mar-17,902.42
09-Mar-17,904.50
10-Mar-17,908.49
14-Mar-17,922.40
15-Mar-17,920.00
16-Mar-17,930.46
17-Mar-17,930.00
20-Mar-17,926.72
21-Mar-17,923.85
22-Mar-17,916.65
23-Mar-17,920.34
24-Mar-17,926.20
27-Mar-17,919.58
28-Mar-17,926.43
29-Mar-17,929.08
30-Mar-17,929.00
31-Mar-17,925.05
03-Apr-17,939.55
05-Apr-17,941.57
06-Apr-17,936.08
07-Apr-17,940.00
10-Apr-17,934.07
11-Apr-17,939.63
12-Apr-17,933.79
13-Apr-17,934.20
17-Apr-17,929.59
18-Apr-17,937.06
19-Apr-17,923.64
20-Apr-17,929.60
21-Apr-17,922.02
24-Apr-17,933.56
25-Apr-17,942.80
26-Apr-17,943.36
27-Apr-17,948.70
28-Apr-17,942.40
02-May-17,947.15
03-May-17,946.44
04-May-17,949.85
05-May-17,941.86
08-May-17,947.26
09-May-17,945.71
10-May-17,952.46
11-May-17,954.61
12-May-17,951.98
15-May-17,957.41
16-May-17,961.00
17-May-17,965.00
18-May-17,958.42
19-May-17,964.45
22-May-17,959.37
23-May-17,953.52
24-May-17,954.53
25-May-17,964.96
26-May-17,971.20
29-May-17,974.80
30-May-17,975.80
31-May-17,974.51
01-Jun-17,974.18
02-Jun-17,979.49
05-Jun-17,980.92
06-Jun-17,980.38
07-Jun-17,980.39
08-Jun-17,981.48
09-Jun-17,984.60
12-Jun-17,978.37
13-Jun-17,979.90
14-Jun-17,976.25
15-Jun-17,980.13
16-Jun-17,973.36
