Date,NAV
30-Aug-16,889.69
31-Aug-16,896.17
01-Sep-16,894.34
02-Sep-16,896.19
06-Sep-16,909.80
07-Sep-16,908.90
08-Sep-16,912.79
09-Sep-16,905.77
12-Sep-16,891.09
14-Sep-16,892.16
15-Sep-16,891.28
16-Sep-16,894.84
19-Sep-16,897.58
20-Sep-16,896.80
21-Sep-16,895.71
22-Sep-16,903.61
23-Sep-16,900.34
26-Sep-16,892.21
27-Sep-16,888.56
28-Sep-16,892.61
29-Sep-16,880.58
30-Sep-16,878.58
03-Oct-16,891.76
04-Oct-16,892.93
05-Oct-16,890.87
06-Oct-16,886.81
07-Oct-16,885.85
10-Oct-16,889.57
13-Oct-16,874.12
14-Oct-16,877.29
17-Oct-16,869.13
18-Oct-16,881.93
19-Oct-16,882.14
20-Oct-16,886.69
21-Oct-16,886.13
24-Oct-16,887.73
25-Oct-16,887.03
26-Oct-16,879.27
27-Oct-16,880.79
28-Oct-16,881.79
30-Oct-16,880.01
01-Nov-16,881.84
02-Nov-16,872.55
03-Nov-16,870.69
04-Nov-16,863.49
07-Nov-16,872.47
08-Nov-16,881.64
09-Nov-16,862.42
10-Nov-16,875.32
11-Nov-16,850.14
15-Nov-16,830.88
16-Nov-16,829.55
17-Nov-16,829.82
18-Nov-16,826.81
21-Nov-16,813.09
22-Nov-16,820.02
23-Nov-16,822.53
24-Nov-16,817.64
25-Nov-16,828.48
28-Nov-16,832.45
29-Nov-16,833.96
30-Nov-16,839.18
01-Dec-16,835.29
02-Dec-16,826.23
05-Dec-16,831.82
06-Dec-16,832.54
07-Dec-16,827.98
08-Dec-16,840.01
09-Dec-16,841.85
12-Dec-16,833.49
13-Dec-16,838.74
14-Dec-16,834.33
15-Dec-16,832.65
16-Dec-16,830.40
19-Dec-16,828.91
20-Dec-16,826.20
21-Dec-16,825.27
22-Dec-16,815.90
23-Dec-16,816.46
26-Dec-16,807.82
27-Dec-16,818.64
28-Dec-16,818.57
29-Dec-16,825.81
30-Dec-16,834.89
02-Jan-17,835.11
03-Jan-17,836.12
04-Jan-17,835.80
05-Jan-17,843.90
06-Jan-17,842.32
09-Jan-17,841.29
10-Jan-17,844.47
11-Jan-17,854.30
12-Jan-17,856.65
13-Jan-17,856.01
