Date,NAV
16-Dec-16,828.00
19-Dec-16,825.75
20-Dec-16,826.29
21-Dec-16,828.95
22-Dec-16,818.45
23-Dec-16,813.00
26-Dec-16,808.00
27-Dec-16,818.66
28-Dec-16,822.70
29-Dec-16,826.90
30-Dec-16,831.00
02-Jan-17,838.95
03-Jan-17,830.15
05-Jan-17,840.00
06-Jan-17,845.00
09-Jan-17,837.80
11-Jan-17,857.85
12-Jan-17,860.30
13-Jan-17,858.00
16-Jan-17,860.85
17-Jan-17,854.10
18-Jan-17,860.80
19-Jan-17,862.00
20-Jan-17,854.00
23-Jan-17,855.00
24-Jan-17,862.13
25-Jan-17,878.70
27-Jan-17,882.00
30-Jan-17,878.00
31-Jan-17,873.55
01-Feb-17,882.50
02-Feb-17,887.80
03-Feb-17,892.00
06-Feb-17,901.00
07-Feb-17,892.00
08-Feb-17,894.00
09-Feb-17,893.10
10-Feb-17,895.30
13-Feb-17,900.00
14-Feb-17,895.33
15-Feb-17,897.00
16-Feb-17,898.60
17-Feb-17,899.20
20-Feb-17,907.05
21-Feb-17,906.00
22-Feb-17,907.00
23-Feb-17,915.45
27-Feb-17,910.00
28-Feb-17,903.90
01-Mar-17,909.00
02-Mar-17,913.05
06-Mar-17,912.00
07-Mar-17,910.00
08-Mar-17,908.00
09-Mar-17,908.00
10-Mar-17,915.00
14-Mar-17,931.05
15-Mar-17,926.62
16-Mar-17,933.20
17-Mar-17,933.85
20-Mar-17,931.15
21-Mar-17,926.00
22-Mar-17,918.11
23-Mar-17,932.50
24-Mar-17,928.00
27-Mar-17,925.50
28-Mar-17,926.85
29-Mar-17,930.45
30-Mar-17,935.00
31-Mar-17,933.00
03-Apr-17,942.00
05-Apr-17,942.00
06-Apr-17,943.20
07-Apr-17,945.00
10-Apr-17,943.00
11-Apr-17,938.50
12-Apr-17,935.00
13-Apr-17,940.80
17-Apr-17,932.72
18-Apr-17,936.80
19-Apr-17,925.75
20-Apr-17,928.60
21-Apr-17,936.85
24-Apr-17,940.00
25-Apr-17,949.66
26-Apr-17,955.00
27-Apr-17,952.45
02-May-17,950.60
03-May-17,949.80
04-May-17,953.65
05-May-17,946.35
08-May-17,953.35
09-May-17,950.00
10-May-17,958.98
11-May-17,959.25
12-May-17,957.30
15-May-17,965.45
16-May-17,971.60
17-May-17,974.11
18-May-17,965.00
19-May-17,959.80
22-May-17,966.25
23-May-17,955.40
24-May-17,956.10
25-May-17,969.01
26-May-17,977.00
29-May-17,975.00
30-May-17,976.60
31-May-17,977.00
02-Jun-17,991.00
05-Jun-17,991.00
06-Jun-17,993.90
07-Jun-17,991.00
08-Jun-17,989.00
12-Jun-17,987.00
13-Jun-17,983.00
14-Jun-17,982.00
15-Jun-17,985.60
16-Jun-17,983.85
19-Jun-17,982.65
21-Jun-17,987.50
22-Jun-17,999.65
23-Jun-17,985.15
27-Jun-17,972.25
28-Jun-17,972.25
29-Jun-17,977.45
30-Jun-17,970.25
03-Jul-17,984.02
04-Jul-17,985.00
05-Jul-17,984.60
06-Jul-17,994.60
07-Jul-17,993.55
10-Jul-17,1003.30
11-Jul-17,1002.25
13-Jul-17,1016.00
17-Jul-17,1014.10
18-Jul-17,1014.60
19-Jul-17,1016.25
20-Jul-17,1014.85
21-Jul-17,1016.00
24-Jul-17,1022.98
25-Jul-17,1020.10
26-Jul-17,1027.10
27-Jul-17,1036.00
28-Jul-17,1026.50
31-Jul-17,1037.00
01-Aug-17,1040.85
02-Aug-17,1035.05
03-Aug-17,1032.00
04-Aug-17,1030.70
07-Aug-17,1037.65
08-Aug-17,1026.65
09-Aug-17,1019.70
10-Aug-17,1014.65
11-Aug-17,1000.90
14-Aug-17,1006.35
16-Aug-17,1016.40
17-Aug-17,1017.15
18-Aug-17,1007.70
21-Aug-17,999.47
23-Aug-17,1012.00
24-Aug-17,1013.90
28-Aug-17,1016.25
29-Aug-17,1012.00
30-Aug-17,1021.55
31-Aug-17,1012.80
01-Sep-17,1023.90
04-Sep-17,1026.40
05-Sep-17,1022.40
07-Sep-17,1026.25
08-Sep-17,1025.15
11-Sep-17,1029.09
12-Sep-17,1035.00
13-Sep-17,1034.55
14-Sep-17,1041.00
15-Sep-17,1038.55
18-Sep-17,1047.95
19-Sep-17,1041.70
