Date,NAV
18-Nov-16,214.31
21-Nov-16,215.60
22-Nov-16,218.76
23-Nov-16,219.32
24-Nov-16,216.89
25-Nov-16,220.74
28-Nov-16,220.42
29-Nov-16,221.26
30-Nov-16,222.93
01-Dec-16,222.12
02-Dec-16,219.23
05-Dec-16,220.30
06-Dec-16,221.59
07-Dec-16,220.19
08-Dec-16,225.30
09-Dec-16,224.79
12-Dec-16,222.25
13-Dec-16,221.79
14-Dec-16,218.73
15-Dec-16,219.28
16-Dec-16,217.38
19-Dec-16,216.96
20-Dec-16,215.71
21-Dec-16,212.24
22-Dec-16,211.47
23-Dec-16,210.40
26-Dec-16,206.85
27-Dec-16,210.18
28-Dec-16,211.13
29-Dec-16,213.35
30-Dec-16,216.16
02-Jan-17,218.61
03-Jan-17,219.49
04-Jan-17,219.54
05-Jan-17,221.11
06-Jan-17,221.95
09-Jan-17,222.41
10-Jan-17,224.21
11-Jan-17,225.97
12-Jan-17,228.23
13-Jan-17,229.41
16-Jan-17,230.22
17-Jan-17,228.33
18-Jan-17,229.56
19-Jan-17,231.15
20-Jan-17,227.97
23-Jan-17,229.60
24-Jan-17,231.69
25-Jan-17,235.65
27-Jan-17,237.23
30-Jan-17,237.19
31-Jan-17,235.76
01-Feb-17,239.33
02-Feb-17,241.04
03-Feb-17,240.62
06-Feb-17,242.67
07-Feb-17,243.06
08-Feb-17,244.17
09-Feb-17,244.83
10-Feb-17,244.39
13-Feb-17,243.68
14-Feb-17,242.84
15-Feb-17,239.72
16-Feb-17,242.11
17-Feb-17,243.97
20-Feb-17,247.04
21-Feb-17,248.34
22-Feb-17,247.54
23-Feb-17,245.55
27-Feb-17,245.66
28-Feb-17,247.08
01-Mar-17,247.50
02-Mar-17,244.53
03-Mar-17,243.88
06-Mar-17,245.42
07-Mar-17,245.17
08-Mar-17,242.48
09-Mar-17,242.69
10-Mar-17,243.18
14-Mar-17,247.09
15-Mar-17,247.62
16-Mar-17,251.01
17-Mar-17,250.85
20-Mar-17,251.56
21-Mar-17,251.45
22-Mar-17,248.96
23-Mar-17,251.48
24-Mar-17,250.03
27-Mar-17,250.30
28-Mar-17,251.06
29-Mar-17,252.17
30-Mar-17,252.87
31-Mar-17,253.11
03-Apr-17,255.01
05-Apr-17,256.96
06-Apr-17,257.47
07-Apr-17,259.17
10-Apr-17,259.44
11-Apr-17,262.15
12-Apr-17,262.37
13-Apr-17,262.74
17-Apr-17,261.18
18-Apr-17,259.10
19-Apr-17,260.30
20-Apr-17,261.79
21-Apr-17,261.77
24-Apr-17,263.93
25-Apr-17,267.74
26-Apr-17,267.04
27-Apr-17,266.72
28-Apr-17,266.70
02-May-17,268.19
03-May-17,267.97
04-May-17,269.03
05-May-17,265.53
08-May-17,265.53
09-May-17,268.12
10-May-17,271.21
11-May-17,271.57
12-May-17,270.21
15-May-17,272.72
16-May-17,272.60
17-May-17,272.22
18-May-17,266.59
19-May-17,264.85
22-May-17,262.54
23-May-17,259.47
24-May-17,255.53
25-May-17,257.72
26-May-17,263.44
29-May-17,261.60
30-May-17,263.14
31-May-17,264.65
01-Jun-17,264.12
02-Jun-17,265.51
05-Jun-17,268.62
06-Jun-17,265.79
07-Jun-17,267.60
08-Jun-17,268.75
09-Jun-17,268.99
12-Jun-17,268.63
13-Jun-17,269.78
14-Jun-17,268.17
15-Jun-17,268.88
16-Jun-17,269.41
19-Jun-17,269.94
20-Jun-17,270.03
21-Jun-17,270.07
22-Jun-17,268.47
23-Jun-17,266.14
27-Jun-17,262.68
28-Jun-17,263.90
29-Jun-17,264.01
30-Jun-17,266.63
03-Jul-17,269.10
04-Jul-17,269.78
05-Jul-17,271.01
06-Jul-17,272.97
07-Jul-17,273.30
10-Jul-17,275.16
11-Jul-17,273.67
12-Jul-17,274.57
13-Jul-17,277.29
14-Jul-17,277.46
17-Jul-17,277.91
18-Jul-17,276.28
19-Jul-17,280.09
20-Jul-17,278.77
21-Jul-17,279.25
24-Jul-17,279.89
25-Jul-17,281.24
26-Jul-17,280.97
27-Jul-17,280.04
28-Jul-17,280.91
31-Jul-17,282.95
01-Aug-17,282.97
02-Aug-17,281.93
03-Aug-17,281.61
04-Aug-17,285.47
07-Aug-17,289.58
08-Aug-17,285.66
09-Aug-17,281.71
10-Aug-17,273.06
11-Aug-17,272.58
14-Aug-17,278.29
16-Aug-17,280.98
17-Aug-17,280.66
18-Aug-17,280.03
21-Aug-17,276.61
22-Aug-17,275.04
23-Aug-17,278.18
24-Aug-17,281.52
28-Aug-17,282.83
29-Aug-17,280.11
30-Aug-17,284.59
31-Aug-17,285.06
01-Sep-17,287.78
04-Sep-17,286.98
05-Sep-17,288.35
06-Sep-17,288.74
07-Sep-17,290.18
08-Sep-17,288.28
11-Sep-17,291.58
12-Sep-17,293.41
13-Sep-17,291.79
14-Sep-17,292.62
15-Sep-17,292.91
18-Sep-17,293.36
19-Sep-17,295.05
20-Sep-17,294.20
21-Sep-17,291.20
22-Sep-17,285.14
25-Sep-17,280.76
26-Sep-17,281.56
27-Sep-17,276.20
28-Sep-17,276.44
29-Sep-17,279.13
03-Oct-17,283.82
04-Oct-17,283.83
05-Oct-17,284.06
06-Oct-17,286.71
09-Oct-17,285.99
10-Oct-17,287.49
11-Oct-17,285.97
12-Oct-17,289.27
13-Oct-17,290.35
16-Oct-17,291.43
17-Oct-17,291.84
18-Oct-17,291.43
19-Oct-17,291.94
23-Oct-17,291.12
24-Oct-17,291.71
25-Oct-17,294.38
26-Oct-17,296.81
27-Oct-17,298.55
30-Oct-17,301.45
31-Oct-17,300.70
01-Nov-17,304.90
02-Nov-17,305.91
03-Nov-17,306.12
06-Nov-17,307.98
07-Nov-17,302.93
08-Nov-17,299.59
09-Nov-17,301.98
10-Nov-17,302.67
13-Nov-17,300.90
14-Nov-17,299.98
15-Nov-17,296.02
16-Nov-17,299.14
17-Nov-17,303.35
20-Nov-17,303.84
21-Nov-17,303.77
22-Nov-17,303.02
23-Nov-17,304.06
24-Nov-17,304.61
27-Nov-17,305.32
28-Nov-17,305.50
29-Nov-17,304.98
30-Nov-17,303.63
01-Dec-17,300.88
04-Dec-17,300.14
05-Dec-17,300.34
06-Dec-17,298.24
07-Dec-17,303.05
08-Dec-17,304.77
11-Dec-17,306.13
12-Dec-17,303.72
13-Dec-17,299.62
14-Dec-17,300.22
15-Dec-17,302.31
18-Dec-17,304.94
19-Dec-17,309.09
20-Dec-17,309.88
21-Dec-17,311.60
22-Dec-17,313.16
26-Dec-17,314.64
27-Dec-17,313.20
28-Dec-17,312.45
29-Dec-17,314.31
