Date,NAV
13-Nov-17,103.74
14-Nov-17,103.08
15-Nov-17,102.56
16-Nov-17,103.29
17-Nov-17,103.88
20-Nov-17,104.17
21-Nov-17,104.34
22-Nov-17,104.65
23-Nov-17,105.20
24-Nov-17,104.98
27-Nov-17,105.04
28-Nov-17,105.00
29-Nov-17,105.00
30-Nov-17,104.05
01-Dec-17,102.53
04-Dec-17,102.54
05-Dec-17,102.43
06-Dec-17,101.56
07-Dec-17,103.11
08-Dec-17,103.90
11-Dec-17,104.64
12-Dec-17,103.85
13-Dec-17,103.13
14-Dec-17,103.54
15-Dec-17,104.52
18-Dec-17,105.10
19-Dec-17,105.67
20-Dec-17,105.55
21-Dec-17,105.78
22-Dec-17,105.99
26-Dec-17,106.24
27-Dec-17,106.12
28-Dec-17,105.67
29-Dec-17,106.28
