Symbol,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL,AAPL,AAPL,AAPL,AAPL,Indicators,Indicators,Indicators,Indicators
Value,Open,High,Low,Close,Volume,Spread,LB,SS,LS,SB,Env_L,Env_H,Wick,StDv*2
Datetime,,,,,,,,,,,,,,
2020-08-13 13:40:00-04:00,461.26,461.98,460.97,461.93,522485,0.0,,,,,460.05981229446775,463.6281418874119,1.009999999999991,1.2378543093350025
2020-08-13 13:45:00-04:00,461.93,462.15,461.55,461.82,385883,0.0,,,,,460.0388063616612,463.650009326706,0.5999999999999659,1.2379053101760333
2020-08-13 13:50:00-04:00,461.81,462.56,461.61,462.48,464039,0.0,,,,,460.0586533748364,463.6755370098769,0.9499999999999886,1.2335571441356485
2020-08-13 13:55:00-04:00,462.45,462.5,461.13,461.45,388856,0.0,,,,,460.07092448199484,463.6526906279839,1.3700000000000045,1.2335232035397152
2020-08-13 14:00:00-04:00,461.45,461.7,460.63,461.36,371192,0.0,,,,,460.0062173884715,463.5841629491282,1.0699999999999932,1.2250813457878886
2020-08-13 14:05:00-04:00,461.32,461.5,460.75,461.25,325288,0.0,,,,,459.9287204943313,463.53364743016357,0.75,1.2279735029920755
2020-08-13 14:10:00-04:00,461.24,461.24,459.88,460.51,488238,0.0,,,,,459.8339661615378,463.4046714844337,1.3600000000000136,1.2171264924954075
2020-08-13 14:15:00-04:00,460.49,460.81,459.33,459.51,572216,0.0,,459.71,459.71,,459.70748843186755,463.2353361049638,1.4800000000000182,1.214445724485667
2020-08-13 14:20:00-04:00,459.54,460.0,458.34,458.88,756466,0.0,,459.52,459.52,,459.51629905740396,462.98737076163394,1.660000000000025,1.217138270542937
2020-08-13 14:25:00-04:00,458.96,460.27,458.83,459.93,660110,0.0,,459.37,459.37,,459.3689039090798,462.8099211652878,1.4399999999999977,1.2169577132954807
2020-08-13 14:30:00-04:00,459.95,460.38,459.61,460.07,449529,0.0,,,,,459.24597020345317,462.7240286733556,0.7699999999999818,1.2172831338058132
2020-08-13 14:35:00-04:00,460.07,460.14,458.34,458.98,639815,0.0,,459.11,459.11,,459.1120016126481,462.52475927589313,1.8000000000000114,1.2170848914153003
2020-08-13 14:40:00-04:00,458.99,459.35,458.2,458.4,400068,0.0,,,,,458.9159300304912,462.3310679162842,1.150000000000034,1.2139676553987877
2020-08-13 14:45:00-04:00,458.41,460.37,458.41,459.0,758380,0.0,,458.84,458.84,,458.8351890752063,462.17592335282853,1.9599999999999795,1.218525359043836
2020-08-13 14:50:00-04:00,459.05,459.18,456.77,458.0,1117824,0.0,,458.65,458.65,,458.6493710680438,461.8785830335115,2.410000000000025,1.232431963356923
2020-08-13 14:55:00-04:00,458.1,458.47,457.06,457.89,528133,0.0,,458.41,458.41,,458.4139690615635,461.6373179827009,1.410000000000025,1.2302781151050082
2020-08-13 15:00:00-04:00,457.86,458.81,457.53,458.39,580080,0.0,,458.23,458.23,,458.23320534141465,461.46401627006264,1.2800000000000296,1.2293091349888734
2020-08-13 15:05:00-04:00,458.36,458.76,457.74,457.89,512017,0.0,,,,,458.0649191184227,461.32731948243753,1.0199999999999818,1.2283312751529984
2020-08-13 15:10:00-04:00,457.88,458.74,457.3,458.55,522461,0.0,,457.91,457.91,,457.91076491666814,461.16152715077686,1.4399999999999977,1.2291208137052876
2020-08-13 15:15:00-04:00,458.52,459.65,458.09,459.38,530534,0.0,,,,,457.857525400795,461.0871388507029,1.5600000000000023,1.2198810639265556
2020-08-13 15:20:00-04:00,459.36,460.71,459.31,460.52,650862,0.0,,,,,457.9098039340526,461.1366065792074,1.3999999999999773,1.2201937748166347
2020-08-13 15:25:00-04:00,460.49,460.54,459.77,460.17,445296,0.0,,,,,457.9409940355714,461.22539166690194,0.7700000000000387,1.2090644987035706
2020-08-13 15:30:00-04:00,460.22,460.46,459.77,460.4,387798,0.0,,,,,457.96163269885034,461.3057210319589,0.6899999999999977,1.2155797699925703
2020-08-13 15:35:00-04:00,460.36,461.3,460.23,460.34,632476,0.0,,,,,458.05990577515036,461.4224285527247,1.0699999999999932,1.2133424647266164
2020-08-13 15:40:00-04:00,460.33,461.0,460.02,460.96,532437,0.0,,,,,458.12039093942167,461.5079210715127,0.9800000000000182,1.2079500366899458
2020-08-13 15:45:00-04:00,460.95,461.0,459.26,459.83,648725,0.0,,,,,458.17511561185773,461.51252858851154,1.740000000000009,1.212936075830311
2020-08-13 15:50:00-04:00,459.79,460.66,459.72,460.54,584853,0.0,,,,,458.1924093631094,461.5607258657962,0.9399999999999977,1.204880791414233
2020-08-13 15:55:00-04:00,460.53,461.0,459.52,460.03,1164706,0.0,,,,,458.24027513805135,461.58519006905374,1.4800000000000182,1.2009657506262261
2020-08-14 09:30:00-04:00,459.32,459.58,456.66,456.69,2066846,0.0,,458.15,458.15,,458.1490203629988,461.3335814910486,2.919999999999959,1.2525526088650627
2020-08-14 09:35:00-04:00,456.66,458.32,456.34,457.85,1085172,0.0,,457.95,457.95,,457.9470565189036,461.0753070633297,1.9800000000000182,1.2548872560180249
2020-08-14 09:40:00-04:00,457.89,457.89,456.66,456.98,673889,0.0,,457.72,457.72,,457.72357970757946,460.872258771584,1.2299999999999613,1.0620968036168634
2020-08-14 09:45:00-04:00,456.95,457.01,453.89,454.53,1501156,0.0,,,,,457.4379959259053,460.42341984095697,3.1200000000000045,1.1015670943211444
2020-08-14 09:50:00-04:00,454.55,455.54,453.69,455.11,1022553,0.0,,,,,457.0403105996285,459.9981846180086,1.8500000000000227,1.1046524168376703
2020-08-14 09:55:00-04:00,455.11,456.39,454.75,455.52,812615,0.0,,,,,456.76104768537823,459.7149051305792,1.6399999999999864,1.033900045360993
